agency,complaint_type,descriptor,category,subcategory,raw_llm_response,request_count,category_1,subcategory_1
DPR,Overgrown Tree/Branches,Hitting Power/Phone Lines,Parks & Community,Tree Complaints,"{""category"": ""Parks & Community"", ""subcategory"": ""Tree Complaints""}",36374,,
DPR,Maintenance or Facility,Grass/Weeds,Parks & Community,Park Maintenance,"{""category"": ""Parks & Community"", ""subcategory"": ""Park Maintenance""}",20495,,
DPR,Illegal Tree Damage,Branches Damaged,Parks & Community,Tree Complaints,"{""category"": ""Parks & Community"", ""subcategory"": ""Tree Complaints""}",12668,,
DPR,Overgrown Tree/Branches,Hitting Power Lines,Parks & Community,Tree Complaints,"{""category"": ""Parks & Community"", ""subcategory"": ""Tree Complaints""}",10633,,
DPR,Illegal Tree Damage,Unauthorized Tree Removal,Parks & Community,Tree Complaints,"{""category"": ""Parks & Community"", ""subcategory"": ""Tree Complaints""}",10574,,
DOHMH,Indoor Air Quality,Dust from Construction,Environmental Health & Sanitation,Hazardous Materials & Safety,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Hazardous Materials & Safety""}",9713,,
DPR,Illegal Tree Damage,Trunk Damaged,Parks & Community,Tree Complaints,"{""category"": ""Parks & Community"", ""subcategory"": ""Tree Complaints""}",8957,,
DPR,Dead/Dying Tree,Planted Less Than 2 Years Ago,Parks & Community,Tree Complaints,"{""category"": ""Parks & Community"", ""subcategory"": ""Tree Complaints""}",7961,,
DPR,Overgrown Tree/Branches,Traffic Sign or Signal Blocked,Parks & Community,Tree Complaints,"{""category"": ""Parks & Community"", ""subcategory"": ""Tree Complaints""}",7842,,
DPR,Illegal Tree Damage,Roots Damaged,Parks & Community,Tree Complaints,"{""category"": ""Parks & Community"", ""subcategory"": ""Tree Complaints""}",7096,,
DOHMH,Indoor Air Quality,Sewage Odor,Environmental Health & Sanitation,Hazardous Materials & Safety,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Hazardous Materials & Safety""}",4937,,
DPR,Illegal Tree Damage,Bicycle Chained to Tree,Parks & Community,Tree Complaints,"{""category"": ""Parks & Community"", ""subcategory"": ""Tree Complaints""}",4449,,
DPR,Maintenance or Facility,Broken Glass,Parks & Community,Park Maintenance,"{""category"": ""Parks & Community"", ""subcategory"": ""Park Maintenance""}",2991,,
DPR,Illegal Tree Damage,Unauthorized Tree Pruning,Parks & Community,Tree Complaints,"{""category"": ""Parks & Community"", ""subcategory"": ""Tree Complaints""}",2759,,
DPR,Wood Pile Remaining,Remove Debris,Parks & Community,Park Maintenance,"{""category"": ""Parks & Community"", ""subcategory"": ""Park Maintenance""}",2652,,
DOHMH,Beach/Pool/Sauna Complaint,Facility Maintenance,Parks & Community,Park Maintenance,"{""category"": ""Parks & Community"", ""subcategory"": ""Park Maintenance""}",921,,
DEP,Water Conservation,Illegal Use Of Hose - Other (CCO),Environmental Health & Sanitation,Water Quality & Leaks,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Water Quality & Leaks""}",446,,
