agency,complaint_type,descriptor,category,subcategory,raw_llm_response,request_count
NYPD,Noise - Residential,Loud Music/Party,Public Safety & Order,Noise & Disturbances,"{""category"": ""Public Safety & Order"", ""subcategory"": ""Noise & Disturbances""}",228354
HPD,HEAT/HOT WATER,ENTIRE BUILDING,Housing & Infrastructure,Building & Utilities,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Building & Utilities""}",174098
NYPD,Illegal Parking,Blocked Hydrant,Public Safety & Order,Parking,"{""category"": ""Public Safety & Order"", ""subcategory"": ""Parking""}",133625
NYPD,Noise - Street/Sidewalk,Loud Music/Party,Public Safety & Order,Noise & Disturbances,"{""category"": ""Public Safety & Order"", ""subcategory"": ""Noise & Disturbances""}",128607
NYPD,Blocked Driveway,No Access,Public Safety & Order,Parking,"{""category"": ""Public Safety & Order"", ""subcategory"": ""Parking""}",121022
NYPD,Illegal Parking,Posted Parking Sign Violation,Public Safety & Order,Parking,"{""category"": ""Public Safety & Order"", ""subcategory"": ""Parking""}",118881
NYPD,Noise - Residential,Banging/Pounding,Public Safety & Order,Noise & Disturbances,"{""category"": ""Public Safety & Order"", ""subcategory"": ""Noise & Disturbances""}",112398
HPD,HEAT/HOT WATER,APARTMENT ONLY,Housing & Infrastructure,Building & Utilities,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Building & Utilities""}",89820
NYPD,Abandoned Vehicle,With License Plate,Public Safety & Order,Parking,"{""category"": ""Public Safety & Order"", ""subcategory"": ""Parking""}",70175
HPD,UNSANITARY CONDITION,PESTS,Environmental Health & Sanitation,Animals & Pests,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Animals & Pests""}",62748
NYPD,Illegal Parking,Blocked Sidewalk,Public Safety & Order,Parking,"{""category"": ""Public Safety & Order"", ""subcategory"": ""Parking""}",61434
NYPD,Noise - Commercial,Loud Music/Party,Public Safety & Order,Noise & Disturbances,"{""category"": ""Public Safety & Order"", ""subcategory"": ""Noise & Disturbances""}",55192
DSNY,Dirty Condition,Trash,Environmental Health & Sanitation,Waste Management & Sanitation,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Waste Management & Sanitation""}",52990
DSNY,Derelict Vehicles,Derelict Vehicles,Public Safety & Order,Parking,"{""category"": ""Public Safety & Order"", ""subcategory"": ""Parking""}",49097
NYPD,Blocked Driveway,Partial Access,Public Safety & Order,Parking,"{""category"": ""Public Safety & Order"", ""subcategory"": ""Parking""}",48701
NYPD,Illegal Parking,Commercial Overnight Parking,Public Safety & Order,Parking,"{""category"": ""Public Safety & Order"", ""subcategory"": ""Parking""}",40498
DOT,Street Condition,Pothole,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",40022
DHS,Homeless Person Assistance,,Public Safety & Order,Homeless Assistance,"{""category"": ""Public Safety & Order"", ""subcategory"": ""Homeless Assistance""}",39450
HPD,UNSANITARY CONDITION,MOLD,Housing & Infrastructure,Building & Utilities,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Building & Utilities""}",36118
NYPD,Noise - Street/Sidewalk,Loud Talking,Public Safety & Order,Noise & Disturbances,"{""category"": ""Public Safety & Order"", ""subcategory"": ""Noise & Disturbances""}",34136
DSNY,Illegal Dumping,Removal Request,Environmental Health & Sanitation,Waste Management & Sanitation,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Waste Management & Sanitation""}",33470
HPD,PAINT/PLASTER,WALL,Housing & Infrastructure,Building & Utilities,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Building & Utilities""}",31487
NYPD,Encampment,N/A,Public Safety & Order,Homeless Assistance,"{""category"": ""Public Safety & Order"", ""subcategory"": ""Homeless Assistance""}",30420
NYPD,Noise - Vehicle,Car/Truck Music,Public Safety & Order,Noise & Disturbances,"{""category"": ""Public Safety & Order"", ""subcategory"": ""Noise & Disturbances""}",29831
NYPD,Illegal Parking,Blocked Crosswalk,Public Safety & Order,Parking,"{""category"": ""Public Safety & Order"", ""subcategory"": ""Parking""}",29805
